,SUBDIVISION,YEAR,MONTH,MAX_TEMP,MIN_TEMP,MEAN_TEMP,PRECEPTIONS,PRESSURE,WIND_SPEED,RAINFALL
2,ANDAMAN & NICOBAR ISLANDS,1982.0,2.0,12.67,25.97,19.3,11.22,94.01,6.14,2.8
3,ANDAMAN & NICOBAR ISLANDS,1982.0,3.0,15.72,29.99,22.83,25.78,93.9,7.47,6.6
4,ANDAMAN & NICOBAR ISLANDS,1982.0,4.0,20.52,34.24,27.35,38.18,93.79,9.29,97.5
5,ANDAMAN & NICOBAR ISLANDS,1982.0,5.0,22.78,35.65,29.19,52.07,93.79,6.65,229.2
6,ANDAMAN & NICOBAR ISLANDS,1982.0,6.0,24.25,34.67,29.44,128.74,93.63,10.27,448.7
7,ANDAMAN & NICOBAR ISLANDS,1982.0,7.0,24.0,32.24,28.1,250.82,93.59,9.51,410.5
8,ANDAMAN & NICOBAR ISLANDS,1982.0,8.0,22.91,30.28,26.57,246.21,93.66,8.9,347.6
9,ANDAMAN & NICOBAR ISLANDS,1982.0,9.0,21.8,31.35,26.55,132.02,93.84,8.73,369.0
10,ANDAMAN & NICOBAR ISLANDS,1982.0,10.0,19.5,31.19,25.32,50.98,94.02,6.58,164.5
11,ANDAMAN & NICOBAR ISLANDS,1982.0,11.0,15.26,27.39,21.31,42.83,94.08,8.37,238.8
12,ANDAMAN & NICOBAR ISLANDS,1982.0,12.0,11.69,25.17,18.41,7.04,94.27,6.7,60.5
1,ANDAMAN & NICOBAR ISLANDS,1983.0,1.0,10.26,23.98,17.1,11.92,94.27,7.41,22.1
2,ANDAMAN & NICOBAR ISLANDS,1983.0,2.0,12.26,26.2,19.21,12.4,94.07,6.71,0.0
3,ANDAMAN & NICOBAR ISLANDS,1983.0,3.0,16.61,30.68,23.62,18.95,93.98,9.25,3.1
4,ANDAMAN & NICOBAR ISLANDS,1983.0,4.0,19.87,33.65,26.74,28.01,93.81,10.79,9.1
5,ANDAMAN & NICOBAR ISLANDS,1983.0,5.0,23.16,36.1,29.61,63.77,93.71,9.8,240.8
6,ANDAMAN & NICOBAR ISLANDS,1983.0,6.0,24.74,35.14,29.92,152.79,93.57,15.41,424.3
7,ANDAMAN & NICOBAR ISLANDS,1983.0,7.0,23.58,31.8,27.67,305.0,93.59,9.66,468.9
8,ANDAMAN & NICOBAR ISLANDS,1983.0,8.0,23.18,30.39,26.76,293.46,93.59,9.92,493.8
9,ANDAMAN & NICOBAR ISLANDS,1983.0,9.0,22.14,30.76,26.43,222.19,93.67,8.4,505.5
10,ANDAMAN & NICOBAR ISLANDS,1983.0,10.0,18.83,30.07,24.43,94.99,93.83,9.2,275.8
11,ANDAMAN & NICOBAR ISLANDS,1983.0,11.0,13.33,27.41,20.35,10.81,94.17,8.77,261.0
12,ANDAMAN & NICOBAR ISLANDS,1983.0,12.0,10.9,24.44,17.65,22.48,94.14,9.21,88.1
1,ANDAMAN & NICOBAR ISLANDS,1984.0,1.0,10.5,23.81,17.13,17.29,93.98,7.57,69.4
2,ANDAMAN & NICOBAR ISLANDS,1984.0,2.0,11.49,25.76,18.6,21.04,93.9,8.34,173.8
3,ANDAMAN & NICOBAR ISLANDS,1984.0,3.0,17.2,32.48,24.82,12.59,93.94,7.8,26.3
4,ANDAMAN & NICOBAR ISLANDS,1984.0,4.0,21.27,35.38,28.3,36.44,93.7,10.02,156.6
5,ANDAMAN & NICOBAR ISLANDS,1984.0,5.0,24.4,37.81,31.08,45.96,93.56,11.0,162.3
6,ANDAMAN & NICOBAR ISLANDS,1984.0,6.0,24.14,34.47,29.28,146.52,93.48,13.09,424.9
7,ANDAMAN & NICOBAR ISLANDS,1984.0,7.0,22.95,30.71,26.8,290.02,93.51,12.59,446.4
8,ANDAMAN & NICOBAR ISLANDS,1984.0,8.0,22.45,30.15,26.28,245.52,93.66,7.66,125.8
9,ANDAMAN & NICOBAR ISLANDS,1984.0,9.0,21.26,30.17,25.69,157.82,93.77,10.71,283.6
10,ANDAMAN & NICOBAR ISLANDS,1984.0,10.0,18.78,30.77,24.75,60.85,93.92,8.23,347.1
11,ANDAMAN & NICOBAR ISLANDS,1984.0,11.0,13.57,27.52,20.52,11.33,94.11,6.33,158.9
12,ANDAMAN & NICOBAR ISLANDS,1984.0,12.0,11.39,25.45,18.4,9.72,94.0,8.33,445.2
1,ANDAMAN & NICOBAR ISLANDS,1985.0,1.0,11.04,24.5,17.75,16.51,94.09,8.12,12.0
2,ANDAMAN & NICOBAR ISLANDS,1985.0,2.0,12.58,27.4,19.97,5.95,93.72,6.91,19.2
3,ANDAMAN & NICOBAR ISLANDS,1985.0,3.0,18.07,33.17,25.59,14.27,93.89,8.68,24.1
4,ANDAMAN & NICOBAR ISLANDS,1985.0,4.0,21.39,35.53,28.44,27.48,93.67,9.02,55.0
5,ANDAMAN & NICOBAR ISLANDS,1985.0,5.0,23.91,37.16,30.51,55.82,93.55,9.73,278.1
6,ANDAMAN & NICOBAR ISLANDS,1985.0,6.0,24.03,34.46,29.22,129.78,93.6,9.15,588.4
7,ANDAMAN & NICOBAR ISLANDS,1985.0,7.0,22.96,30.65,26.78,290.74,93.68,8.8,230.9
8,ANDAMAN & NICOBAR ISLANDS,1985.0,8.0,22.82,30.28,26.52,241.93,93.62,8.38,375.2
9,ANDAMAN & NICOBAR ISLANDS,1985.0,9.0,21.94,31.07,26.48,142.72,93.75,8.44,362.5
10,ANDAMAN & NICOBAR ISLANDS,1985.0,10.0,18.29,29.95,24.1,114.52,93.86,9.83,358.9
11,ANDAMAN & NICOBAR ISLANDS,1985.0,11.0,14.23,27.85,21.02,16.84,94.05,7.91,232.1
12,ANDAMAN & NICOBAR ISLANDS,1985.0,12.0,12.04,25.58,18.79,16.27,94.15,7.6,94.4
1,ANDAMAN & NICOBAR ISLANDS,1986.0,1.0,10.65,24.25,17.42,11.49,94.12,7.55,14.8
2,ANDAMAN & NICOBAR ISLANDS,1986.0,2.0,12.62,26.64,19.6,18.27,94.01,6.98,0.6
3,ANDAMAN & NICOBAR ISLANDS,1986.0,3.0,16.75,31.43,24.07,12.0,93.87,8.04,1.5
4,ANDAMAN & NICOBAR ISLANDS,1986.0,4.0,20.93,35.15,28.01,31.59,93.73,8.39,8.2
5,ANDAMAN & NICOBAR ISLANDS,1986.0,5.0,23.05,36.36,29.68,52.54,93.66,10.52,302.6
6,ANDAMAN & NICOBAR ISLANDS,1986.0,6.0,24.07,34.71,29.37,151.97,93.5,12.38,312.2
7,ANDAMAN & NICOBAR ISLANDS,1986.0,7.0,23.04,31.0,26.99,256.5,93.67,10.06,308.5
8,ANDAMAN & NICOBAR ISLANDS,1986.0,8.0,22.51,30.32,26.39,241.91,93.65,12.08,444.0
9,ANDAMAN & NICOBAR ISLANDS,1986.0,9.0,22.01,31.3,26.63,133.26,93.8,8.77,408.9
10,ANDAMAN & NICOBAR ISLANDS,1986.0,10.0,19.08,30.82,24.93,65.73,93.96,7.11,176.1
11,ANDAMAN & NICOBAR ISLANDS,1986.0,11.0,15.16,28.45,21.78,39.95,94.08,7.54,163.5
12,ANDAMAN & NICOBAR ISLANDS,1986.0,12.0,11.03,24.76,17.87,16.95,94.22,8.03,47.0
1,ANDAMAN & NICOBAR ISLANDS,1987.0,1.0,10.75,24.72,17.71,11.22,94.24,8.16,72.4
2,ANDAMAN & NICOBAR ISLANDS,1987.0,2.0,13.04,27.51,20.25,10.64,94.19,7.56,35.2
3,ANDAMAN & NICOBAR ISLANDS,1987.0,3.0,16.87,31.43,24.13,22.28,93.95,8.34,20.4
4,ANDAMAN & NICOBAR ISLANDS,1987.0,4.0,21.27,35.41,28.32,32.68,93.85,9.62,17.7
5,ANDAMAN & NICOBAR ISLANDS,1987.0,5.0,22.49,35.73,29.09,46.76,93.86,7.88,162.9
6,ANDAMAN & NICOBAR ISLANDS,1987.0,6.0,24.84,35.66,30.23,120.76,93.55,10.9,343.7
7,ANDAMAN & NICOBAR ISLANDS,1987.0,7.0,23.81,32.19,27.97,208.84,93.74,9.59,45.3
8,ANDAMAN & NICOBAR ISLANDS,1987.0,8.0,23.21,31.12,27.14,274.18,93.64,9.05,666.5
9,ANDAMAN & NICOBAR ISLANDS,1987.0,9.0,22.7,32.0,27.33,122.29,93.81,8.11,378.9
10,ANDAMAN & NICOBAR ISLANDS,1987.0,10.0,19.53,31.38,25.43,85.95,93.91,6.55,373.4
11,ANDAMAN & NICOBAR ISLANDS,1987.0,11.0,14.97,28.86,21.89,25.29,93.98,6.29,313.4
12,ANDAMAN & NICOBAR ISLANDS,1987.0,12.0,11.56,25.2,18.36,24.49,94.26,7.48,334.1
1,ANDAMAN & NICOBAR ISLANDS,1988.0,1.0,11.6,25.58,18.57,4.57,94.2,7.09,10.2
2,ANDAMAN & NICOBAR ISLANDS,1988.0,2.0,13.73,28.19,20.94,11.77,94.01,6.27,39.9
3,ANDAMAN & NICOBAR ISLANDS,1988.0,3.0,17.09,31.46,24.25,23.35,93.82,7.45,28.0
4,ANDAMAN & NICOBAR ISLANDS,1988.0,4.0,21.52,35.61,28.54,39.78,93.8,7.91,82.7
5,ANDAMAN & NICOBAR ISLANDS,1988.0,5.0,24.6,37.69,31.12,58.37,93.56,10.2,427.5
6,ANDAMAN & NICOBAR ISLANDS,1988.0,6.0,24.25,34.87,29.53,166.4,93.55,11.09,357.4
7,ANDAMAN & NICOBAR ISLANDS,1988.0,7.0,23.19,30.91,27.03,354.92,93.55,9.99,495.6
8,ANDAMAN & NICOBAR ISLANDS,1988.0,8.0,23.02,30.3,26.63,283.73,93.58,12.27,354.2
9,ANDAMAN & NICOBAR ISLANDS,1988.0,9.0,22.3,31.33,26.79,230.8,93.56,11.05,603.3
10,ANDAMAN & NICOBAR ISLANDS,1988.0,10.0,18.83,30.94,24.86,49.68,93.93,8.06,271.4
11,ANDAMAN & NICOBAR ISLANDS,1988.0,11.0,14.4,27.92,21.14,20.87,94.13,8.2,583.0
12,ANDAMAN & NICOBAR ISLANDS,1988.0,12.0,11.51,25.54,18.5,15.84,94.25,9.13,69.9
1,ANDAMAN & NICOBAR ISLANDS,1989.0,1.0,9.82,23.89,16.84,14.7,94.06,7.86,56.0
2,ANDAMAN & NICOBAR ISLANDS,1989.0,2.0,12.06,26.84,19.43,6.41,94.11,7.82,12.8
3,ANDAMAN & NICOBAR ISLANDS,1989.0,3.0,16.31,30.86,23.56,22.48,93.87,7.2,68.1
4,ANDAMAN & NICOBAR ISLANDS,1989.0,4.0,20.59,35.14,27.84,19.33,93.76,8.42,42.6
5,ANDAMAN & NICOBAR ISLANDS,1989.0,5.0,23.63,37.18,30.38,46.18,93.57,10.06,379.3
6,ANDAMAN & NICOBAR ISLANDS,1989.0,6.0,23.53,33.99,28.74,152.33,93.65,10.13,414.9
7,ANDAMAN & NICOBAR ISLANDS,1989.0,7.0,22.88,31.21,27.02,298.3,93.58,15.62,380.1
8,ANDAMAN & NICOBAR ISLANDS,1989.0,8.0,22.52,30.28,26.38,232.41,93.64,8.2,413.2
9,ANDAMAN & NICOBAR ISLANDS,1989.0,9.0,21.92,31.09,26.48,157.9,93.74,7.84,215.9
10,ANDAMAN & NICOBAR ISLANDS,1989.0,10.0,19.07,31.1,25.06,58.81,93.88,7.05,291.8
11,ANDAMAN & NICOBAR ISLANDS,1989.0,11.0,14.78,28.2,21.47,15.52,94.21,9.0,255.0
12,ANDAMAN & NICOBAR ISLANDS,1989.0,12.0,10.95,24.66,17.78,9.66,94.24,8.62,4.0
1,ANDAMAN & NICOBAR ISLANDS,1990.0,1.0,11.38,26.05,18.69,6.29,94.22,7.67,13.4
2,ANDAMAN & NICOBAR ISLANDS,1990.0,2.0,13.22,26.69,19.94,27.74,94.04,8.47,0.2
3,ANDAMAN & NICOBAR ISLANDS,1990.0,3.0,16.19,30.07,23.1,28.94,94.0,7.7,24.6
4,ANDAMAN & NICOBAR ISLANDS,1990.0,4.0,20.92,34.86,27.87,28.16,93.7,8.85,87.5
5,ANDAMAN & NICOBAR ISLANDS,1990.0,5.0,23.35,35.96,29.63,85.53,93.54,10.46,424.6
6,ANDAMAN & NICOBAR ISLANDS,1990.0,6.0,23.83,34.09,28.93,179.54,93.58,8.52,291.0
7,ANDAMAN & NICOBAR ISLANDS,1990.0,7.0,22.89,30.57,26.71,285.45,93.68,8.68,213.2
8,ANDAMAN & NICOBAR ISLANDS,1990.0,8.0,22.84,30.27,26.53,301.58,93.68,9.88,293.3
9,ANDAMAN & NICOBAR ISLANDS,1990.0,9.0,22.07,30.63,26.32,173.05,93.79,7.06,310.4
10,ANDAMAN & NICOBAR ISLANDS,1990.0,10.0,18.71,30.23,24.45,86.77,93.92,7.91,133.6
11,ANDAMAN & NICOBAR ISLANDS,1990.0,11.0,15.15,28.47,21.79,25.31,94.05,8.46,291.1
12,ANDAMAN & NICOBAR ISLANDS,1990.0,12.0,11.67,25.28,18.45,13.79,94.22,8.52,100.3
1,ANDAMAN & NICOBAR ISLANDS,1991.0,1.0,10.23,23.94,17.06,12.2,94.13,8.35,14.1
2,ANDAMAN & NICOBAR ISLANDS,1991.0,2.0,13.32,27.42,20.35,12.26,94.15,8.8,3.8
3,ANDAMAN & NICOBAR ISLANDS,1991.0,3.0,17.22,31.77,24.47,14.7,93.89,7.49,28.0
4,ANDAMAN & NICOBAR ISLANDS,1991.0,4.0,20.75,34.66,27.68,31.72,93.75,9.96,132.9
5,ANDAMAN & NICOBAR ISLANDS,1991.0,5.0,23.91,36.92,30.39,52.32,93.67,9.98,191.3
6,ANDAMAN & NICOBAR ISLANDS,1991.0,6.0,24.0,34.09,29.02,175.95,93.46,11.82,165.7
7,ANDAMAN & NICOBAR ISLANDS,1991.0,7.0,23.62,31.77,27.67,255.15,93.57,11.47,547.2
8,ANDAMAN & NICOBAR ISLANDS,1991.0,8.0,22.75,30.07,26.39,234.0,93.71,8.56,486.5
9,ANDAMAN & NICOBAR ISLANDS,1991.0,9.0,22.08,31.06,26.55,139.25,93.85,7.04,489.9
10,ANDAMAN & NICOBAR ISLANDS,1991.0,10.0,18.76,30.89,24.8,65.58,93.8,7.51,287.6
11,ANDAMAN & NICOBAR ISLANDS,1991.0,11.0,14.5,27.78,21.12,28.59,94.19,10.33,130.1
12,ANDAMAN & NICOBAR ISLANDS,1991.0,12.0,11.12,24.8,17.94,11.48,94.24,7.84,58.5
1,ANDAMAN & NICOBAR ISLANDS,1992.0,1.0,10.39,24.17,17.26,13.59,94.38,8.18,75.9
2,ANDAMAN & NICOBAR ISLANDS,1992.0,2.0,11.87,25.9,18.87,14.1,94.08,7.25,10.9
3,ANDAMAN & NICOBAR ISLANDS,1992.0,3.0,17.02,31.58,24.27,11.37,94.02,6.66,0.0
4,ANDAMAN & NICOBAR ISLANDS,1992.0,4.0,20.85,34.95,27.88,15.74,93.83,6.77,5.1
5,ANDAMAN & NICOBAR ISLANDS,1992.0,5.0,23.2,36.26,29.71,51.26,93.7,10.02,241.7
6,ANDAMAN & NICOBAR ISLANDS,1992.0,6.0,24.69,35.24,29.94,104.92,93.47,13.52,392.0
7,ANDAMAN & NICOBAR ISLANDS,1992.0,7.0,23.73,31.6,27.64,218.17,93.61,13.62,348.2
8,ANDAMAN & NICOBAR ISLANDS,1992.0,8.0,22.75,29.95,26.32,254.1,93.67,11.95,372.3
9,ANDAMAN & NICOBAR ISLANDS,1992.0,9.0,21.44,30.62,26.0,175.54,93.72,10.84,323.7
10,ANDAMAN & NICOBAR ISLANDS,1992.0,10.0,19.15,30.58,24.84,68.84,93.89,5.87,257.3
11,ANDAMAN & NICOBAR ISLANDS,1992.0,11.0,14.78,27.81,21.27,33.44,94.03,9.51,64.3
12,ANDAMAN & NICOBAR ISLANDS,1992.0,12.0,11.13,25.06,18.07,4.0,94.37,5.21,7.2
1,ANDAMAN & NICOBAR ISLANDS,1993.0,1.0,10.88,24.6,17.72,7.86,94.24,8.09,14.9
2,ANDAMAN & NICOBAR ISLANDS,1993.0,2.0,13.13,27.87,20.48,12.86,94.15,9.82,0.0
3,ANDAMAN & NICOBAR ISLANDS,1993.0,3.0,15.99,30.21,23.08,21.85,94.01,7.31,129.9
4,ANDAMAN & NICOBAR ISLANDS,1993.0,4.0,20.67,34.73,27.68,22.92,93.85,8.25,43.7
5,ANDAMAN & NICOBAR ISLANDS,1993.0,5.0,23.97,36.99,30.46,62.17,93.68,9.17,181.4
6,ANDAMAN & NICOBAR ISLANDS,1993.0,6.0,24.81,35.17,29.96,149.47,93.6,11.77,257.1
7,ANDAMAN & NICOBAR ISLANDS,1993.0,7.0,23.44,31.27,27.33,288.04,93.54,12.59,391.7
8,ANDAMAN & NICOBAR ISLANDS,1993.0,8.0,23.04,30.79,26.89,192.12,93.76,9.93,226.7
9,ANDAMAN & NICOBAR ISLANDS,1993.0,9.0,22.08,30.51,26.27,189.42,93.79,7.8,437.0
10,ANDAMAN & NICOBAR ISLANDS,1993.0,10.0,19.54,30.95,25.22,82.94,93.92,7.45,299.3
11,ANDAMAN & NICOBAR ISLANDS,1993.0,11.0,15.01,28.29,21.63,23.14,94.05,9.27,189.0
12,ANDAMAN & NICOBAR ISLANDS,1993.0,12.0,11.12,25.31,18.19,14.13,94.23,8.86,66.7
1,ANDAMAN & NICOBAR ISLANDS,1994.0,1.0,11.53,25.01,18.25,20.93,94.11,7.92,7.2
2,ANDAMAN & NICOBAR ISLANDS,1994.0,2.0,12.61,26.39,19.48,16.09,93.96,6.05,35.5
3,ANDAMAN & NICOBAR ISLANDS,1994.0,3.0,17.65,32.74,25.17,14.12,93.95,8.83,129.4
4,ANDAMAN & NICOBAR ISLANDS,1994.0,4.0,20.48,34.28,27.36,35.47,93.79,6.69,154.6
5,ANDAMAN & NICOBAR ISLANDS,1994.0,5.0,24.1,37.39,30.72,42.07,93.65,9.75,403.2
6,ANDAMAN & NICOBAR ISLANDS,1994.0,6.0,24.15,34.43,29.26,162.14,93.42,11.92,386.3
7,ANDAMAN & NICOBAR ISLANDS,1994.0,7.0,22.84,30.49,26.64,334.13,93.55,11.11,569.7
8,ANDAMAN & NICOBAR ISLANDS,1994.0,8.0,22.77,29.92,26.32,265.94,93.66,10.3,460.5
9,ANDAMAN & NICOBAR ISLANDS,1994.0,9.0,21.75,30.69,26.19,149.81,93.87,13.42,775.1
10,ANDAMAN & NICOBAR ISLANDS,1994.0,10.0,18.74,30.79,24.74,90.55,93.92,7.59,137.5
11,ANDAMAN & NICOBAR ISLANDS,1994.0,11.0,14.78,27.74,21.24,19.43,94.17,7.68,180.3
12,ANDAMAN & NICOBAR ISLANDS,1994.0,12.0,10.89,24.94,17.89,5.59,94.34,6.35,23.8
1,ANDAMAN & NICOBAR ISLANDS,1995.0,1.0,9.76,23.27,16.49,24.75,94.24,7.67,51.8
2,ANDAMAN & NICOBAR ISLANDS,1995.0,2.0,13.02,27.0,19.99,15.43,94.08,7.82,12.5
3,ANDAMAN & NICOBAR ISLANDS,1995.0,3.0,16.47,30.77,23.6,23.12,93.95,7.72,12.1
4,ANDAMAN & NICOBAR ISLANDS,1995.0,4.0,20.51,34.62,27.54,21.68,93.8,7.58,21.1
5,ANDAMAN & NICOBAR ISLANDS,1995.0,5.0,23.7,36.63,30.14,55.51,93.6,10.57,314.8
6,ANDAMAN & NICOBAR ISLANDS,1995.0,6.0,25.46,35.98,30.7,137.08,93.51,7.48,450.4
7,ANDAMAN & NICOBAR ISLANDS,1995.0,7.0,23.61,31.45,27.5,319.03,93.48,11.83,501.4
8,ANDAMAN & NICOBAR ISLANDS,1995.0,8.0,23.37,30.4,26.86,253.15,93.59,10.94,555.8
9,ANDAMAN & NICOBAR ISLANDS,1995.0,9.0,22.25,31.07,26.64,184.3,93.74,12.94,426.4
10,ANDAMAN & NICOBAR ISLANDS,1995.0,10.0,19.67,31.36,25.5,81.55,93.8,8.28,294.7
11,ANDAMAN & NICOBAR ISLANDS,1995.0,11.0,14.88,28.22,21.52,24.43,93.97,6.3,452.9
12,ANDAMAN & NICOBAR ISLANDS,1995.0,12.0,11.81,25.25,18.51,6.71,94.37,7.47,21.6
1,ANDAMAN & NICOBAR ISLANDS,1996.0,1.0,11.39,24.89,18.11,16.35,94.11,8.83,52.2
2,ANDAMAN & NICOBAR ISLANDS,1996.0,2.0,13.17,27.61,20.37,12.32,94.02,9.02,4.8
3,ANDAMAN & NICOBAR ISLANDS,1996.0,3.0,18.08,32.61,25.32,16.2,93.84,7.73,3.4
4,ANDAMAN & NICOBAR ISLANDS,1996.0,4.0,20.96,35.2,28.06,30.77,93.73,9.43,122.7
5,ANDAMAN & NICOBAR ISLANDS,1996.0,5.0,23.97,37.02,30.47,39.44,93.68,9.34,298.0
6,ANDAMAN & NICOBAR ISLANDS,1996.0,6.0,24.38,34.54,29.43,166.75,93.53,14.55,559.2
7,ANDAMAN & NICOBAR ISLANDS,1996.0,7.0,23.6,31.42,27.49,278.54,93.54,12.18,335.5
8,ANDAMAN & NICOBAR ISLANDS,1996.0,8.0,22.63,29.78,26.18,271.18,93.63,11.68,328.0
9,ANDAMAN & NICOBAR ISLANDS,1996.0,9.0,22.33,30.83,26.55,148.74,93.61,7.16,541.6
10,ANDAMAN & NICOBAR ISLANDS,1996.0,10.0,18.95,30.35,24.63,105.18,93.8,10.45,318.5
11,ANDAMAN & NICOBAR ISLANDS,1996.0,11.0,14.33,28.18,21.23,14.43,94.04,8.15,254.2
12,ANDAMAN & NICOBAR ISLANDS,1996.0,12.0,10.58,25.4,17.96,10.22,94.19,7.22,178.8
1,ANDAMAN & NICOBAR ISLANDS,1997.0,1.0,9.78,24.09,16.91,11.83,94.18,7.12,9.5
2,ANDAMAN & NICOBAR ISLANDS,1997.0,2.0,11.85,26.63,19.22,5.27,94.04,6.75,0.0
3,ANDAMAN & NICOBAR ISLANDS,1997.0,3.0,17.06,31.6,24.31,19.27,94.01,8.93,0.2
4,ANDAMAN & NICOBAR ISLANDS,1997.0,4.0,19.75,33.39,26.55,40.09,93.88,7.65,15.6
5,ANDAMAN & NICOBAR ISLANDS,1997.0,5.0,22.84,35.88,29.34,39.16,93.74,10.2,281.1
6,ANDAMAN & NICOBAR ISLANDS,1997.0,6.0,23.96,34.31,29.11,134.57,93.72,11.19,199.5
7,ANDAMAN & NICOBAR ISLANDS,1997.0,7.0,23.64,31.62,27.6,267.89,93.6,9.03,918.5
8,ANDAMAN & NICOBAR ISLANDS,1997.0,8.0,22.95,30.44,26.67,282.7,93.78,9.81,430.6
9,ANDAMAN & NICOBAR ISLANDS,1997.0,9.0,22.05,30.77,26.38,161.77,93.92,8.55,440.2
10,ANDAMAN & NICOBAR ISLANDS,1997.0,10.0,18.2,30.31,24.24,67.69,94.16,6.13,128.7
11,ANDAMAN & NICOBAR ISLANDS,1997.0,11.0,15.83,27.78,21.78,57.35,94.12,7.77,292.8
12,ANDAMAN & NICOBAR ISLANDS,1997.0,12.0,11.91,23.99,17.93,32.15,94.19,8.5,38.4
1,ANDAMAN & NICOBAR ISLANDS,1998.0,1.0,10.87,24.63,17.73,8.02,94.19,7.58,0.9
2,ANDAMAN & NICOBAR ISLANDS,1998.0,2.0,13.11,27.45,20.26,17.1,94.19,7.95,0.0
3,ANDAMAN & NICOBAR ISLANDS,1998.0,3.0,16.21,30.99,23.58,23.96,93.99,7.73,0.0
4,ANDAMAN & NICOBAR ISLANDS,1998.0,4.0,21.64,35.43,28.51,34.01,93.84,8.1,0.0
5,ANDAMAN & NICOBAR ISLANDS,1998.0,5.0,24.53,37.8,31.14,51.5,93.65,9.8,348.9
6,ANDAMAN & NICOBAR ISLANDS,1998.0,6.0,25.17,35.76,30.44,137.37,93.49,13.12,600.0
7,ANDAMAN & NICOBAR ISLANDS,1998.0,7.0,23.86,31.49,27.65,294.86,93.55,13.84,364.5
8,ANDAMAN & NICOBAR ISLANDS,1998.0,8.0,23.53,30.78,27.13,266.45,93.63,10.13,258.9
9,ANDAMAN & NICOBAR ISLANDS,1998.0,9.0,22.57,31.06,26.79,193.59,93.63,8.59,337.8
10,ANDAMAN & NICOBAR ISLANDS,1998.0,10.0,20.02,31.4,25.68,107.38,93.8,9.3,618.6
11,ANDAMAN & NICOBAR ISLANDS,1998.0,11.0,15.51,28.37,21.91,40.34,93.98,7.79,227.8
12,ANDAMAN & NICOBAR ISLANDS,1998.0,12.0,11.06,25.42,18.22,12.49,94.22,7.25,89.0
1,ANDAMAN & NICOBAR ISLANDS,1999.0,1.0,10.14,24.32,17.21,10.35,94.07,7.09,46.8
2,ANDAMAN & NICOBAR ISLANDS,1999.0,2.0,13.74,28.21,20.95,13.43,94.15,8.62,44.6
